gene,event_type,exons,delta_PSI,p_value,mean_tumor,mean_normal,n_tumor,n_normal,p_adj
MLH1,AA,2.1,0.10428750000000009,0.0040364426974478975,0.9190875000000001,0.8148,152,5,0.017753094229824337
SRSF2,RI,2.6,-0.10355419354838691,0.00033155968783562894,0.8388858064516129,0.9424399999999998,155,5,0.0027629973986302413
SRSF6,ES,3,0.1018625806451613,0.05710304248274736,0.6974425806451613,0.59558,155,5,0.11896467183905701
BCL2L11,RI,3.2,-0.09486733812949633,0.19754627447527484,0.7506726618705036,0.84554,139,5,0.3321123772799014
ERCC1,AT,11,0.09479161290322591,0.04759415672832971,0.7091516129032258,0.6143599999999999,155,5,0.10498711043013907
BCL2L11,AP,1,-0.09383923076923073,0.07228041381115172,0.8402807692307693,0.9341200000000001,130,5,0.13900079579067637
AKT1,AD,2.2:2.3,-0.09348451612903241,0.026934665032150626,0.8709554838709677,0.9644400000000001,155,5,0.07233488207964768
BCL2L1,AA,2.2,0.09307548387096787,0.024719197654205542,0.6055754838709678,0.5125,155,5,0.07233488207964768
MLH1,AT,20,0.09170129032258056,0.0001474173294475535,0.9858612903225805,0.89416,155,5,0.002476402369487425
AKT2,AP,1,0.09015032258064515,0.006506498819555567,0.9552903225806452,0.86514,155,5,0.02380426397398378
MAPK8,AA,15.1,-0.08566091503267981,0.026083115318836215,0.7432790849673202,0.82894,153,5,0.07233488207964768
HNRNPH1,RI,1.4,-0.08007225806451614,0.020904948060307963,0.022507741935483872,0.10258,155,5,0.06532796268846239
FGFR2,ES,4:5,0.07917870967741936,0.0009137645792256499,0.9278987096774193,0.8487199999999999,155,5,0.006230213040174886
SRSF3,ES,4.1,0.07614129032258067,0.027346745208465164,0.19488129032258067,0.11874,155,5,0.07233488207964768
BCL2L11,AD,3.2:3.3,-0.07558865248226965,0.04353836522182595,0.9244113475177304,1.0,141,4,0.09747395198916257
HNRNPA1,RI,11.3,0.07061483870967744,0.030210989732671098,0.16921483870967743,0.0986,155,5,0.07346111433838726
HNRNPK,AA,18.1,0.07028709677419354,0.0062168313015136985,0.6033670967741935,0.53308,155,5,0.02380426397398378
FGFR1,AD,8.3,0.07010779220779223,0.1023886488093199,0.3661077922077922,0.296,154,5,0.18960860890614795
AKT1,AP,2.1,-0.06786399999999992,0.2718402141130798,0.707036,0.7748999999999999,150,5,0.41218627931942503
HNRNPH1,AD,1.2:1.3,0.06671870967741933,0.020737758775594854,0.9670987096774193,0.90038,155,5,0.06532796268846239
HRAS,AP,1,0.06586238410596013,0.03259006421343439,0.9725423841059602,0.90668,151,5,0.0775953909843676
HSP90AA1,AP,3,0.06531161290322585,0.0011500155037014817,0.9666516129032259,0.90134,155,5,0.006657508542025082
FGFR2,AD,17.2,0.060713706293706315,0.04835961436994525,0.7566937062937062,0.6959799999999999,143,5,0.10512959645640271
MAPK1,AT,9,-0.05997483870967735,0.0002960413127609192,0.9267051612903227,0.98668,155,5,0.002612129230243405
