gene	drug	regulatory approval	indication	interaction score
TP53	CLEMASTINE	Approved	Anti-Allergic Agents	0.01154951295550564
TP53	TEROXIRONE	Not Approved	""	0.02309902591101129
TP53	CHEMBL:CHEMBL177809	Not Approved	""	0.02887378238876412
TP53	FLUPENTHIXOL	Not Approved	Antipsychotic Agents	0.007699675303670432
TP53	SELUMETINIB	Approved	""	0.01049955723227786
TP53	OLEAMIDE	Not Approved	""	0.05774756477752824
TP53	P53-HDM2 INTERACTION INHIBITOR MI-773	Not Approved	""	0.2694886356284651
TP53	METHYLBENZETHONIUM CHLORIDE	Not Approved	""	0.01924918825917608
TP53	CHEMBL:CHEMBL587620	Not Approved	""	0.02309902591101129
TP53	MERCURIC CHLORIDE	Not Approved	""	0.005774756477752823
TP53	RITUXIMAB	Approved	antineoplastic agent	0.03208198043196013
TP53	CHEMBL:CHEMBL578890	Not Approved	""	0.03849837651835216
TP53	CYTARABINE	Approved	antineoplastic agent	0.002887378238876411
TP53	OSIMERTINIB	Approved	""	0.01649930422215092
TP53	FLAVANONE	Not Approved	""	0.01443689119438206
TP53	RALOXIFENE HYDROCHLORIDE	Approved	Hormone Replacement Agents	0.002309902591101129
TP53	PIMOZIDE	Approved	Antidyskinetics; Antipsychotic Agents	0.00339691557514872
TP53	AMOXAPINE	Approved	antidepressant	0.007699675303670432
TP53	ONONIN	Not Approved	""	0.02309902591101129
TP53	TARENFLURBIL	Not Approved	""	0.01924918825917608
TP53	FANCHININ	Not Approved	""	0.02887378238876412
TP53	MDM2 ANTAGONIST RO6839921	Not Approved	""	0.1154951295550564
TP53	VITAMIN K3	Approved	for reducing EGFR-inhibitor-induced dermatological side effects	0.003982590674312292
TP53	CHEMBL:CHEMBL1702181	Not Approved	""	0.1154951295550564
TP53	CYAZOFAMID	Not Approved	""	0.05774756477752824
TP53	CHEMBL:CHEMBL596633	Not Approved	""	0.01049955723227786
TP53	NAVTEMADLIN	Not Approved	""	0.09624594129588039
TP53	[3H]GBR12935	Not Approved	""	0.01649930422215092
TP53	RIMCAZOLE	Not Approved	antineoplastic agent	0.01924918825917608
TP53	VORINOSTAT	Approved	antineoplastic agent	0.008249652111075463
TP53	CHEMBL:CHEMBL1333386	Not Approved	""	0.01649930422215092
TP53	EZABENLIMAB	Not Approved	""	0.1154951295550564
TP53	CLOTRIMAZOLE	Approved	""	0.006242979975948999
TP53	PERPHENAZINE	Approved	Antipsychotic Agents	0.004442120367502173
TP53	FULVESTRANT	Approved	antineoplastic agent	0.009239610364404518
TP53	PALBOCICLIB	Approved	""	0.004529220766864959
TP53	TANESPIMYCIN	Not Approved	antineoplastic agent	0.02665272220501303
TP53	GENISTEIN	Approved	""	0.001991295337156146
TP53	ETHOPROPAZINE HYDROCHLORIDE	Approved	""	0.01649930422215092
TP53	SULANEMADLIN	Not Approved	""	0.1154951295550564
TP53	CHEMBL:CHEMBL528807	Not Approved	""	0.03849837651835216
TP53	HDM2 INHIBITOR MK-8242	Not Approved	""	0.1154951295550564
TP53	CRIZOTINIB	Approved	antineoplastic agent	0.02309902591101129
TP53	FENOFIBRATE MICRONIZED	Approved	anticholesterolaemic agent,antidyslipidaemic agent	0.008884240735004345
TP53	OCHRATOXIN A	Not Approved	""	0.01283279217278405
TP53	IODOQUINOL	Approved	""	0.01283279217278405
TP53	NEBULARINE	Not Approved	""	0.05774756477752824
